////////////////////////////////////////////////////////////////////////////////																													
// Text Ver. 1.1.3.2																													
// Version 1.00m  - T??																													
// Version 1.00m  - M??																													
// ?? ??? - ???																													
// ?? ??? - ?? 11:22 2005-03-07																													
// ?? : ??? ?? ??																													
////////////////////////////////////////////////////////////////////////////////																													
																													
//??1 [-1(??), 0(??), 1(?), 2(??), 3(?), 4(?), 5(??), 6(?)]																													
//??2 [-1(??), 0(??), 1(??)]																												
// SkillBrand [?? ??? ????? ??? ??]																													
// Skilltype [0(????), 1(????)]


17	"能量球"    
4	"火球"
11	"真空波"
3	"掌心雷"
6	"瞬间移动"
2	"陨石"
7	"冰封"
1	"毒咒"
5	"火龙"
8	"龙卷风"
9	"黑龙波"
10	"地狱火"
12	"极光"
16	"守护之魂"
13	"爆炎"
15	"小挪移"
14	"毁灭烈焰"
39	"暴风雪"
38	"毒炎"
40	"星晨一怒"
45	"回旋刃"	
	
18	"圣盾防御"
19	"地裂斩"
20	"牙突刺"
21	"升龙击"
22	"旋风斩"
23	"天地十字剑"
	
41	"霹雳回旋斩"
47	"钻云枪"
49	"流星焰"
48	"生命之光"
43	"袭风刺"
42	"雷霆裂闪"
44	"半月斩"
	
24	"多重箭"
26	"治疗"
27	"守护之光"
28	"战神之力"
52	"穿透箭"
51	"冰封箭"
//53	"__弓箭手增加技能"
46	"天堂之箭"
	
30	"召唤 哥布林"
31	"召唤 石巨人"
32	"召唤 暗杀者"
33	"召唤 雪人王"
34	"召唤 暗黑骑士"
35	"召唤 守护兽巴里"
36	"召唤 黄金斗士"
	
55	"玄月斩"
56	"天雷闪"
57	"风舞回旋斩"
73	"幻魔光束"
	
50	"恶魔的咆哮(怪物)"
	
//圣导师	
60	"冲击"
61	"星云火链"
62	"地裂"
63	"星云召唤"
64	"致命圣印"
65	"圣极光"
66	"冲击波"
74	"神圣火焰"
//75	"??????"	
78	"火舞旋风"	
79	"星爆"

	
//职务技能
67	"束缚术"
68	"解除束缚"
69	"增益魔法"
70	"透明术"
71	"解除透明"	
72	"解除魔法"

//Fenrir						
76	"炎狼闪电链"
	
//怪物技能	
200	"怪物召唤"
201	"魔法攻击免疫"
202	"物理攻击免疫"
203	"祝福药水"
204	"灵魂药水"

// 弓箭手新增技能	
77	"无影箭"

//幻影寺院专用技能	
210	"保护咒语"
211	"束缚咒语"
212	"追踪咒语"
213	"腐蚀咒语"
end	

// 召唤术士技能																																
214	"摄魂咒"
219	"昏睡术"	
223	"爆裂击"
215	"链雷咒"
224	"安魂弥撒"	
217	"伤害反射"
//223	"幻兽3"
//224	"幻兽4"
//216	" 雷咒 关"	93	95	120	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
//218	" 狂爆术"	
//225	"幻兽5"	
221	"咒弱"	
//226	"幻兽6"	
//227	"幻兽7"	
//228	"幻兽8"	
222	"破御阵"	
//229	"幻兽9"	
//220	" 蒙眼煞"	
// 新增技能																																
232	"致命一击"	
233	"增加魔力"	
234	"恢复"	
// 大师等级技能																																
// 被动技能																																
300	"攻击成功率上升"	
301	"攻击成功率上升"	
302	"攻击成功率上升"	
303	"攻击成功率上升"	
304	"攻击成功率上升"	
305	"对人攻击率上升"	
306	"对人攻击率上升"	
307	"对人攻击率上升"	
308	"对人攻击率上升"	
309	"对人攻击率上升"	
310	"对人防御率上升"	
311	"对人防御率上升"	
312	"对人防御率上升"	
313	"对人防御率上升"	
314	"对人防御率上升"	
315	"耐久度减少 1"	
316	"耐久度减少 1"
317	"耐久度减少 1"	
318	"耐久度减少 1"	
319	"耐久度减少 1"
320	"耐久度减少 2"	
