//------------------------------------------------------------------------------
//------------------------------------------------------------------------------
0
0	0	0	1	2	1	1	1	"波刃剑"	6	6	11	50	20	0	0	0	40	40	0	0	0	1	1	1	1	1	1	1
1	0	0	1	3	1	1	1	"短剑"	3	3	7	20	22	0	0	0	60	0	0	0	0	1	1	1	1	1	1	1
2	0	0	1	3	1	1	1	"西洋剑"	9	9	15	40	23	0	0	0	50	40	0	0	0	1	0	1	1	1	1	1
3	0	20	1	3	1	1	1	"东洋刀"	16	16	26	35	27	0	0	0	80	40	0	0	0	1	0	1	0	1	1	0
4	0	21	1	3	1	1	1	"暗杀者"	12	12	18	30	24	0	0	0	60	40	0	0	0	1	0	1	0	1	1	0
5	0	22	1	3	1	1	1	"极光刀"	36	36	47	30	39	0	0	0	80	50	0	0	0	1	1	1	1	1	1	0
6	0	20	1	3	1	1	1	"拉丁剑"	20	20	30	20	30	0	0	0	110	0	0	0	0	1	0	1	1	1	1	0
7	0	21	1	3	1	1	1	"偃月刀"	24	24	34	25	34	0	0	0	120	0	0	0	0	1	0	1	0	1	1	0
8	0	21	1	3	1	1	1	"巨蛇魔剑"	30	30	40	20	36	0	0	0	130	0	0	0	0	1	0	1	0	1	1	0
9	0	20	2	3	1	1	1	"背叛者"	32	32	46	30	40	0	0	0	103	0	0	0	0	1	0	1	0	1	0	0
10	0	22	2	4	1	1	1	"天行者"	40	47	61	25	50	0	0	0	80	60	0	0	0	1	0	1	1	1	0	0
11	0	20	2	3	1	1	1	"传说之剑"	44	56	72	20	54	0	0	0	120	0	0	0	0	1	0	1	0	1	0	0
12	0	19	2	3	1	1	1	"太阳之剑"	56	73	98	25	66	0	0	0	140	0	0	0	0	1	0	1	0	1	0	0
13	0	22	1	3	1	1	1	"真红之剑"	48	48	56	30	43	0	0	0	70	70	0	0	0	1	0	1	1	1	0	0
14	0	22	1	3	1	1	1	"雷神之剑"	59	59	67	30	50	0	0	0	90	50	0	0	0	1	0	1	1	1	0	0
15	0	23	2	3	1	1	1	"帝王之剑"	52	60	85	20	60	0	0	0	140	0	0	0	0	1	0	1	0	1	0	0
16	0	22	1	4	1	1	1	"破坏之剑"	82	82	90	35	84	0	0	0	160	60	0	0	0	1	0	1	0	1	0	0
